country,male_population,female_population,children_per_woman_total_fertility,daily_income,population,urban_population_percent_of_total
Aruba,47.06%,52.94%,1.79,,,44.1%
Afghanistan,50.5%,49.5%,3.53,3.04$,43.4M,26.6%
Angola,49.44%,50.56%,5.14,4.64$,37.8M,68.1%
Anguilla,48.77%,51.23%,,,,
Albania,49.75%,50.25%,1.7,17.5$,2.83M,63.8%
Andorra,50.98%,49.02%,,,,87.8%
UAE,69.04%,30.959999999999994%,1.64,84.7$,9.59M,87.5%
Argentina,49.52%,50.48%,2.18,21.7$,46.1M,92.3%
Armenia,44.99%,55.01%,1.58,9.88$,2.78M,63.6%
American Samoa,49.34%,50.66%,,,,87.2%
Antigua and Barbuda,47.78%,52.22%,1.97,22.9$,94.8k,24.3%
Australia,49.67%,50.33%,1.8,67.5$,26.7M,86.5%
Austria,49.26%,50.74%,1.57,71.7$,8.98M,59.3%
Azerbaijan,49.37%,50.63%,1.97,20.5$,10.5M,57.2%
Burundi,49.67%,50.33%,5.07,2.03$,13.6M,14.4%
Belgium,49.47%,50.53%,1.82,64.3$,11.7M,98.2%
Benin,50.0%,50.0%,4.45,5.58$,14.1M,49.5%
Burkina Faso,49.85%,50.15%,4.72,4.73$,23.8M,31.9%
Bangladesh,49.49%,50.51%,1.9,5.5$,175M,39.7%
Bulgaria,48.51%,51.49%,1.66,39.1$,6.62M,76.4%
Bahrain,61.69%,38.31%,1.86,53.8$,1.5M,89.7%
Bahamas,47.67%,52.33%,1.72,35.1$,415k,83.5%
Bosnia and Herzegovina,49.21%,50.79%,1.47,34.2$,3.19M,49.8%
Belarus,46.0%,54.0%,1.76,18.0$,9.46M,80.3%
Belize,50.25%,49.75%,2.27,9.55$,417k,46.4%
Bermuda,48.16%,51.84%,,,,100.0%
Bolivia,50.0%,50.0%,2.6,20.1$,12.6M,70.8%
Brazil,49.08%,50.92%,1.64,20.3$,218M,87.6%
Barbados,47.97%,52.03%,1.81,16.5$,282k,31.3%
Brunei,51.69%,48.31%,1.79,62.8$,456k,78.9%
Bhutan,52.83%,47.17%,1.83,16.8$,792k,43.7%
Botswana,49.42%,50.58%,2.43,10.5$,2.72M,72.2%
Central African Republic,49.97%,50.03%,4.28,2.25$,5.92M,43.1%
Canada,49.7%,50.3%,1.56,64.9$,39.1M,81.8%
Switzerland,49.7%,50.3%,1.58,79.5$,8.85M,74.1%
Chile,49.62%,50.38%,1.73,28.7$,19.7M,87.9%
China,50.98%,49.02%,1.67,16.6$,1.43B,63.6%
Cote d'Ivoire,50.5%,49.5%,4.43,6.82$,29.6M,52.7%
Cameroon,49.9%,50.1%,4.2,6.27$,29.4M,58.7%
"Congo, Dem. Rep.",49.62%,50.38%,5.32,2.67$,106M,46.8%
"Congo, Rep.",49.95%,50.05%,4.21,3.09$,6.24M,68.7%
Cook Is,47.51%,52.49%,,,,
Colombia,49.26%,50.74%,1.72,15.3$,52.3M,82.0%
Comoros,50.25%,49.75%,3.83,6.49$,868k,29.9%
Cape Verde,49.72%,50.28%,2.1,11.6$,604k,67.5%
Costa Rica,49.97%,50.03%,1.69,25.9$,5.25M,82.0%
Cuba,49.57%,50.43%,1.73,11.4$,11.2M,77.4%
Cayman Islands,50.25%,49.75%,,,,100.0%
Cyprus,50.0%,50.0%,1.36,60.3$,1.27M,66.9%
Czech Republic,49.37%,50.63%,1.65,43.2$,10.5M,74.4%
