country,gender,industry_workers_percent_of_employment,service_workers_percent_of_employment,agriculture_workers_percent_of_employment,mean_years_in_school_25_years_and_older
Afghanistan,F,25.0,10.0,65.0,2.6
Afghanistan,M,16.8,46.5,36.6,0.4
Albania,F,16.3,42.1,41.6,10.2
Albania,M,22.9,44.4,32.7,9.4
Algeria,F,23.5,73.1,3.38,4.7
Algeria,M,31.7,57.5,10.8,4.2
Angola,F,0.92,42.3,56.8,5.1
Angola,M,12.7,42.7,44.7,2.8
Antigua and Barbuda,F,,,,11.8
Antigua and Barbuda,M,,,,12.2
Argentina,F,9.2,90.8,0.0312,9.8
Argentina,M,31.2,68.7,0.078,10.1
Armenia,F,11.4,61.7,26.9,11.3
Armenia,M,35.8,42.5,21.7,11.3
Australia,F,7.45,90.8,1.71,11.9
Australia,M,29.2,67.5,3.29,11.5
Austria,F,11.8,85.1,3.18,11.8
Austria,M,37.2,58.8,4.07,11.0
Azerbaijan,F,5.91,52.3,41.8,12.1
Azerbaijan,M,23.1,46.3,30.6,11.3
Bahamas,F,2.91,96.8,0.34,10.5
Bahamas,M,25.0,71.2,3.89,10.8
Bahrain,F,8.57,91.4,0.0398,9.1
Bahrain,M,41.7,57.2,1.16,7.8
Bangladesh,F,17.7,24.8,57.6,4.7
Bangladesh,M,22.9,47.0,30.1,2.6
Barbados,F,9.01,89.4,1.58,
Barbados,M,28.5,67.8,3.69,
Belarus,F,18.7,73.7,7.51,11.8
Belarus,M,41.8,43.6,14.6,11.7
Belgium,F,8.41,91.0,0.629,12.1
Belgium,M,31.6,67.2,1.17,11.9
Belize,F,9.26,86.0,4.69,8.5
Belize,M,19.4,56.5,24.1,8.3
Benin,F,16.2,54.1,29.8,3.7
Benin,M,20.4,33.1,46.5,1.6
Bhutan,F,9.57,26.4,64.0,
Bhutan,M,10.6,39.2,50.2,
Bolivia,F,10.2,59.4,30.3,8.4
Bolivia,M,26.7,42.6,30.7,6.7
Bosnia and Herzegovina,F,16.8,62.7,20.5,9.4
Bosnia and Herzegovina,M,40.7,42.8,16.4,7.5
Botswana,F,9.24,75.5,15.3,5.3
Botswana,M,24.9,51.1,23.9,6.0
Brazil,F,10.6,85.4,4.02,6.8
Brazil,M,26.9,60.2,12.8,7.2
Brunei,F,9.42,89.9,0.722,
Brunei,M,29.1,68.1,2.85,
Bulgaria,F,22.2,73.5,4.3,11.8
Bulgaria,M,36.8,54.6,8.63,12.0
Burkina Faso,F,25.2,53.4,21.4,1.7
Burkina Faso,M,25.2,44.8,30.1,0.8
Burundi,F,0.913,5.43,93.7,3.5
Burundi,M,5.99,15.9,78.1,2.0
Cambodia,F,26.3,37.1,36.6,5.4
Cambodia,M,29.4,37.9,32.6,3.2
Cameroon,F,11.0,41.3,47.7,6.6
Cameroon,M,17.4,42.8,39.8,4.2
Canada,F,8.35,90.6,1.0,14.2
Canada,M,29.1,68.9,1.97,14.2
Cape Verde,F,11.4,83.1,5.47,5.0
Cape Verde,M,30.1,55.2,14.7,3.5
Central African Republic,F,4.57,22.8,72.6,4.6
Central African Republic,M,7.68,24.8,67.5,2.1
Chad,F,0.537,26.1,73.4,2.7
Chad,M,2.99,20.5,76.5,0.7
Chile,F,10.2,85.1,4.74,10.2
Chile,M,31.0,57.0,12.0,10.1
China,F,23.1,54.9,22.0,7.7
China,M,30.8,41.2,27.9,6.4
Colombia,F,14.4,79.0,6.6,6.6
Colombia,M,24.2,53.5,22.3,6.4
Comoros,F,16.4,52.0,31.6,4.1
Comoros,M,20.5,43.1,36.4,2.3
"Congo, Dem. Rep.",F,3.48,25.0,71.5,7.6
"Congo, Dem. Rep.",M,15.9,26.7,57.4,4.0
"Congo, Rep.",F,22.2,45.7,32.0,8.1
"Congo, Rep.",M,20.8,44.3,35.0,5.3
Costa Rica,F,10.0,85.9,4.05,8.4
Costa Rica,M,24.1,59.2,16.7,8.6
Cote d'Ivoire,F,10.5,58.5,31.0,4.1
Cote d'Ivoire,M,14.6,38.8,46.6,2.0
Croatia,F,16.2,79.4,4.43,11.1
Croatia,M,37.6,54.7,7.71,10.8
Cuba,F,10.4,82.3,7.27,10.5
Cuba,M,21.3,55.0,23.7,10.2
Cyprus,F,7.07,91.6,1.28,12.3
Cyprus,M,28.0,68.7,3.36,11.8
Czech Republic,F,23.6,74.6,1.74,13.7
Czech Republic,M,48.2,48.4,3.4,13.3
Denmark,F,8.79,90.1,1.11,12.8
Denmark,M,27.3,69.5,3.22,12.8
Djibouti,F,6.8,71.1,22.1,5.3
Djibouti,M,17.8,56.0,26.1,1.8
Dominican Republic,F,9.28,89.3,1.39,7.5
Dominican Republic,M,24.9,61.6,13.5,7.7
Ecuador,F,9.81,63.1,27.1,8.5
Ecuador,M,22.3,46.2,31.5,8.1
Egypt,F,8.01,70.8,21.2,7.9
Egypt,M,31.9,47.6,20.5,5.3
El Salvador,F,17.7,78.9,3.44,7.4
El Salvador,M,26.0,48.3,25.6,6.5
Equatorial Guinea,F,11.7,45.9,42.5,7.7
Equatorial Guinea,M,23.8,38.4,37.8,4.5
Eritrea,F,4.5,27.2,68.3,3.9
Eritrea,M,9.67,31.7,58.7,2.1
Estonia,F,17.1,81.4,1.51,11.1
Estonia,M,39.4,55.9,4.7,11.7
Eswatini,F,22.2,67.7,10.1,7.3
Eswatini,M,24.5,61.6,14.0,7.3
Ethiopia,F,9.1,32.2,58.7,2.3
Ethiopia,M,9.51,17.0,73.4,1.0
Fiji,F,7.51,84.3,8.21,9.5
Fiji,M,17.4,60.5,22.2,9.2
Finland,F,8.79,89.1,2.06,11.8
Finland,M,33.6,61.0,5.38,12.3
France,F,9.54,89.0,1.49,10.5
France,M,30.5,66.0,3.5,10.5
French Polynesia,F,5.49,90.7,3.79,
French Polynesia,M,25.0,65.9,9.11,
Gabon,F,2.72,51.5,45.8,7.6
Gabon,M,15.3,63.7,21.0,5.7
Gambia,F,4.04,62.9,33.1,3.9
Gambia,M,23.1,54.3,22.6,2.0
Georgia,F,5.58,54.3,40.1,12.5
