country,gender,age,unemployment_rate_percent
Afghanistan,F,15_24,21.1
Afghanistan,F,25_54,14.8
Afghanistan,F,55_64,7.01
Afghanistan,F,65plus,
Afghanistan,M,15_24,14.5
Afghanistan,M,25_54,8.78
Afghanistan,M,55_64,9.54
Afghanistan,M,65plus,9.28
Argentina,F,15_24,35.0
Argentina,F,25_54,9.95
Argentina,F,55_64,8.09
Argentina,F,65plus,2.3
Argentina,M,15_24,26.8
Argentina,M,25_54,8.52
Argentina,M,55_64,8.43
Argentina,M,65plus,5.13
Australia,F,15_24,13.2
Australia,F,25_54,5.26
Australia,F,55_64,4.78
Australia,F,65plus,2.31
Australia,M,15_24,15.3
Australia,M,25_54,5.1
Australia,M,55_64,5.42
Australia,M,65plus,2.67
Austria,F,15_24,9.51
Austria,F,25_54,4.97
Austria,F,55_64,3.61
Austria,F,65plus,
Austria,M,15_24,11.3
Austria,M,25_54,4.95
Austria,M,55_64,4.36
Austria,M,65plus,
Belarus,F,15_24,10.2
Belarus,F,25_54,2.74
Belarus,F,55_64,2.84
Belarus,F,65plus,4.71
Belarus,M,15_24,14.3
Belarus,M,25_54,3.98
Belarus,M,55_64,4.06
Belarus,M,65plus,4.71
Belgium,F,15_24,15.1
Belgium,F,25_54,4.85
Belgium,F,55_64,3.62
Belgium,F,65plus,
Belgium,M,15_24,15.5
Belgium,M,25_54,5.11
Belgium,M,55_64,4.61
Belgium,M,65plus,
Bolivia,F,15_24,16.6
Bolivia,F,25_54,10.1
Bolivia,F,55_64,4.04
Bolivia,F,65plus,2.02
Bolivia,M,15_24,15.7
Bolivia,M,25_54,4.97
Bolivia,M,55_64,4.09
Bolivia,M,65plus,2.11
Bosnia and Herzegovina,F,15_24,42.8
Bosnia and Herzegovina,F,25_54,17.8
Bosnia and Herzegovina,F,55_64,7.11
Bosnia and Herzegovina,F,65plus,1.13
Bosnia and Herzegovina,M,15_24,32.5
Bosnia and Herzegovina,M,25_54,12.6
Bosnia and Herzegovina,M,55_64,11.4
Bosnia and Herzegovina,M,65plus,0.97
Botswana,F,15_24,47.9
Botswana,F,25_54,23.3
Botswana,F,55_64,15.8
Botswana,F,65plus,6.06
Botswana,M,15_24,44.9
Botswana,M,25_54,20.6
Botswana,M,55_64,16.5
Botswana,M,65plus,13.9
Brazil,F,15_24,36.3
Brazil,F,25_54,13.4
Brazil,F,55_64,7.17
Brazil,F,65plus,3.79
Brazil,M,15_24,27.5
Brazil,M,25_54,9.49
Brazil,M,55_64,7.49
Brazil,M,65plus,3.18
Bulgaria,F,15_24,13.7
Bulgaria,F,25_54,4.6
Bulgaria,F,55_64,4.12
Bulgaria,F,65plus,
Bulgaria,M,15_24,14.6
Bulgaria,M,25_54,5.25
Bulgaria,M,55_64,4.41
Bulgaria,M,65plus,
Canada,F,15_24,19.4
Canada,F,25_54,7.78
Canada,F,55_64,7.62
Canada,F,65plus,8.12
Canada,M,15_24,20.9
Canada,M,25_54,7.72
Canada,M,55_64,8.28
Canada,M,65plus,6.96
Chile,F,15_24,26.6
Chile,F,25_54,10.7
Chile,F,55_64,7.44
Chile,F,65plus,5.8
Chile,M,15_24,23.7
Chile,M,25_54,10.9
Chile,M,55_64,7.42
Chile,M,65plus,3.87
Colombia,F,15_24,33.0
Colombia,F,25_54,17.9
Colombia,F,55_64,9.59
Colombia,F,65plus,4.81
Colombia,M,15_24,20.7
Colombia,M,25_54,11.0
Colombia,M,55_64,9.68
Colombia,M,65plus,7.38
Costa Rica,F,15_24,50.9
Costa Rica,F,25_54,19.5
Costa Rica,F,55_64,10.7
Costa Rica,F,65plus,7.7
Costa Rica,M,15_24,34.0
Costa Rica,M,25_54,11.6
Costa Rica,M,55_64,7.94
Costa Rica,M,65plus,6.86
Croatia,F,15_24,25.0
Croatia,F,25_54,6.62
Croatia,F,55_64,5.41
Croatia,F,65plus,
Croatia,M,15_24,18.7
Croatia,M,25_54,6.9
Croatia,M,55_64,4.13
Croatia,M,65plus,
Cyprus,F,15_24,12.3
Cyprus,F,25_54,7.57
Cyprus,F,55_64,5.66
Cyprus,F,65plus,
Cyprus,M,15_24,24.4
Cyprus,M,25_54,6.63
Cyprus,M,55_64,5.89
Cyprus,M,65plus,
Czech Republic,F,15_24,9.16
Czech Republic,F,25_54,2.84
Czech Republic,F,55_64,2.37
Czech Republic,F,65plus,
Czech Republic,M,15_24,7.22
Czech Republic,M,25_54,2.07
Czech Republic,M,55_64,1.67
Czech Republic,M,65plus,
Denmark,F,15_24,10.6
Denmark,F,25_54,5.54
Denmark,F,55_64,4.26
Denmark,F,65plus,
Denmark,M,15_24,12.6
Denmark,M,25_54,4.37
Denmark,M,55_64,4.15
Denmark,M,65plus,
Dominican Republic,F,15_24,20.7
Dominican Republic,F,25_54,8.3
Dominican Republic,F,55_64,1.19
Dominican Republic,F,65plus,1.41
Dominican Republic,M,15_24,11.6
Dominican Republic,M,25_54,3.2
Dominican Republic,M,55_64,1.31
Dominican Republic,M,65plus,0.08
Ecuador,F,15_24,15.4
Ecuador,F,25_54,7.22
Ecuador,F,55_64,2.97
Ecuador,F,65plus,
Ecuador,M,15_24,8.72
Ecuador,M,25_54,5.28
Ecuador,M,55_64,3.01
Ecuador,M,65plus,1.19
Estonia,F,15_24,18.4
Estonia,F,25_54,6.02
Estonia,F,55_64,5.69
Estonia,F,65plus,
Estonia,M,15_24,17.4
Estonia,M,25_54,5.78
Estonia,M,55_64,7.85
Estonia,M,65plus,
Finland,F,15_24,19.4
Finland,F,25_54,5.8
Finland,F,55_64,6.87
Finland,F,65plus,
Finland,M,15_24,23.2
Finland,M,25_54,5.87
Finland,M,55_64,8.06
