country,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Afghanistan,61.1,61.4,62.2,62.4,62.2,62.5,62.9,63.1,63.3,63.7,64,62,61.1,60.5,59.3,58.4,57.3,56.4,53.9,51.4,50.2,47.8,45.9,44.1,42.3,40.7,38.4,37.3,36.6
Angola,34.2,33.5,33.6,33,32.6,32,31.8,32.1,30.7,30.2,30.4,29.2,29,28.1,30.2,32.6,35,37.6,40.2,42.5,44.5,44.1,44,44.1,44.5,44.8,44.8,44.7,44.7
Albania,51.6,52.6,52.1,51.6,50.8,49,48.7,47.9,46.3,44.9,43,41.7,40.9,39.8,38.6,37.4,36.7,35.7,35,34.3,38.8,37.6,37.6,36.8,36.7,36.3,35,33.7,32.7
UAE,9.5,9.41,9.29,9.18,9.03,9.04,9.02,8.98,8.98,8.96,8.24,7.59,6.96,6.39,5.86,5.38,4.92,4.51,4.12,3.79,3.48,3.18,2.9,2.64,2.38,2.16,1.94,1.76,1.67
Argentina,0.477,0.456,0.554,0.593,0.791,1.13,1.16,1.14,1.1,0.982,1.22,1.35,1.69,1.86,1.66,1.44,1.61,1.77,1.82,1.88,0.877,0.844,0.89,0.82,0.394,0.19,0.0908,0.122,0.078
Armenia,40.2,41.3,41.8,41.6,41.3,41,40.7,40,39.5,38.8,37.8,36.5,35.1,34,32.8,31.4,30.2,31.7,34.1,31.6,33.1,31.3,29,29.9,31.2,30.8,28.3,23.4,21.7
Australia,6.44,6.11,6.21,5.92,5.74,5.94,6,5.91,6.03,5.96,5.79,5.45,4.94,4.58,4.49,4.27,4.17,4.19,4.08,4.01,3.59,3.54,3.41,3.62,3.31,3.43,3.41,3.43,3.29
Austria,7,6.88,6.74,6.61,6.69,6.55,6.25,5.91,5.67,5.8,5.43,5.5,5.28,4.93,5.26,5.21,5.45,5.27,5.43,5.4,5.18,5.05,4.92,5.07,4.82,4.72,4.15,4.05,4.07
Azerbaijan,37.5,37.8,37.7,39.2,39.8,40,38.9,37.9,37.7,36.6,37.5,40.9,40.9,40.9,41.1,36.1,35.3,38.6,32.5,32.4,32.2,31.7,31.1,31.2,31,30.9,30.9,30.9,30.6
Burundi,86.9,86.9,87,87,87.2,87.4,87.4,87.2,86.8,86.4,85.9,85.5,85,84.8,84.2,83.6,82.8,82.3,81.6,80.9,80.1,79.3,78.6,77.8,77.9,78,78.1,78.1,78.1
Belgium,3.28,3.16,3.07,3.36,3.08,3.14,3.05,2.7,2.69,2.43,1.69,2.3,2.22,2.71,2.47,2.48,2.29,1.97,1.89,1.73,1.64,1.57,1.8,1.55,1.56,1.68,1.55,1.3,1.17
Benin,55.6,55.5,55.5,54.9,54.8,54.7,54.5,54.4,54.1,53.8,53.5,53.3,53,52.9,52.7,52.5,52.1,51.7,51.5,51.2,50.8,50.4,49.7,49.1,48.7,48.5,47.9,47.2,46.5
Burkina Faso,91.6,91.5,91.3,91.1,90.3,89.3,88.1,86.9,85.4,83.9,82.3,80.4,78.2,75.7,73.1,70,66.6,63.4,59.4,55.1,50.6,46,41.4,36.8,35.5,34,32.4,30.8,30.1
Bangladesh,64,63.4,62.6,61.8,60.8,59.7,60.2,60.5,60.7,60.7,57.9,55.1,52,48.8,45.4,42,41.7,41.5,41.4,41,40,38.9,37.9,36.8,35.7,34.7,32.6,31.3,30.1
Bulgaria,21.3,20.7,20.1,19.4,18.4,17.5,18.5,16.7,16.3,15.4,12,13,13.6,12.9,10.7,9.83,9.17,8.9,8.58,8.22,8.53,8.38,8.65,9.18,9.09,8.94,9.17,8.6,8.63
Bahrain,2.89,2.78,2.68,2.57,2.48,2.38,2.29,2.2,2.12,2.03,1.93,1.88,1.82,1.75,1.68,1.6,1.53,1.46,1.42,1.35,1.36,1.36,1.36,1.35,1.35,1.3,1.25,1.2,1.16
Bahamas,8.51,8.45,8.93,8.64,7.15,8.09,5.46,5.51,6.74,6.77,6.78,5.59,5.18,8.06,6.33,4.36,4.17,4.91,5.03,4.72,4.6,4.6,4.51,4.35,4.25,4.12,4.05,3.99,3.89
Bosnia and Herzegovina,33.9,33.9,33.7,32.8,31.6,29.8,27.9,26.4,25,23.6,23,22.2,21.5,21.1,20.4,19.8,19,19.7,18.6,17.9,18.8,19.3,18.7,16.8,17.4,18.1,16.7,15.5,16.4
Belarus,19.3,19.9,19.8,20,20.6,20.6,20.2,19.9,19.8,19.5,18.8,18.5,17.8,17.3,16.6,16,15.4,14.9,14.6,14.1,13.7,13.4,13.2,13,12.8,12.9,14.2,14.9,14.6
Belize,32.1,32.1,31.9,30.7,35.6,38.3,39.4,33.1,36.3,34.8,33.5,32.2,30.6,29.2,27.7,27.6,27.6,27.3,27.2,27,26.8,26.6,26.3,25.8,25.9,26.8,24.6,24.2,24.1
Bolivia,41.9,41.9,41.7,41.5,41.2,41,41,40.5,39.9,40.2,45.6,44.8,35.6,35.6,38.3,39.6,34.6,31.1,29.6,29.5,29.3,28.2,29.3,30.5,27.5,30,30.4,31,30.7
Brazil,24.7,24.8,24.4,24,23.2,22.2,21.8,20.9,21.6,20.8,20,20,20.5,21.3,20.5,19.4,18.5,17.6,17.6,16.6,15.8,15.4,15.1,14,13.9,14,13.3,13.1,12.8
Barbados,6.53,8,6.5,6.19,5.62,6.24,5.67,5.17,5.2,4.99,4.81,4.92,5.48,4.28,4.39,4.5,3.52,3.11,3.83,3.77,4.28,3.46,3.48,4.08,4.22,3.85,3.78,3.74,3.69
Brunei,2.22,2.08,1.95,1.84,1.71,1.63,1.56,1.46,1.41,1.35,1.26,1.2,1.14,1.09,1.04,0.977,0.917,0.88,0.821,0.777,0.74,0.7,0.661,0.625,0.948,1.41,2.03,1.44,2.85
Bhutan,63.9,63.7,63.4,63.1,62.7,62.3,61.8,61.4,60.8,60.1,59.3,58.3,57.7,57.1,56.4,55.9,55.8,56,55.6,54.9,54.2,51.2,49.5,50,52.3,51.3,50.7,50.5,50.2
Botswana,19.5,19.3,19.3,19.3,18.9,18.5,22.1,26.4,24.2,22.1,24.2,26.1,28.1,28.5,28.7,28.8,28.8,28.9,29.1,28.6,28,27.6,26.7,26.1,25.9,25.4,24.9,24.4,23.9
